rank,file_path,hotspot_score,total_churn,commit_count,unique_contributors,sonar_issue_count,github_issue_signal,github_issue_matches,highest_severity,severity_breakdown
273,src/tsclient/yarn.lock,0.00249635947576451,240,2,2,0.0,0.00253592561284869,0,NONE,
274,src/backend/core/migrations/0003_resource_remove_documentaccess_document_and_more.py,0.0024755564801331393,238,3,1,0.0,0.00253592561284869,0,NONE,
275,src/frontend/src/features/rooms/livekit/components/IsIdleDisconnectModal.tsx,0.002454753484501768,236,6,2,0.0,0.00253592561284869,0,NONE,
276,src/backend/core/tests/recording/worker/test_mediator.py,0.0024443519866860827,235,5,1,0.0,0.00253592561284869,0,NONE,
277,src/frontend/src/features/recording/components/ControlsButton.tsx,0.002402745995423341,231,6,1,0.0,0.00253592561284869,0,NONE,
278,src/frontend/src/locales/en/settings.json,0.0023923444976076554,230,26,4,0.0,0.00253592561284869,0,NONE,
279,src/frontend/src/locales/fr/settings.json,0.0023923444976076554,230,26,4,0.0,0.00253592561284869,0,NONE,
280,docs/release.md,0.0023299355107135426,224,5,2,0.0,0.00253592561284869,0,NONE,
281,src/frontend/src/features/rooms/livekit/components/ScreenRecording.tsx,0.0023299355107135426,224,5,1,0.0,0.00253592561284869,0,NONE,
282,src/backend/core/api/permissions.py,0.002309132515082172,222,13,3,0.0,0.00253592561284869,0,NONE,
283,src/frontend/src/features/rooms/livekit/components/blur/index.ts,0.0022987310172664865,221,14,4,0.0,0.00253592561284869,0,NONE,
284,bin/Tiltfile,0.002246723528188059,216,21,4,0.0,0.00253592561284869,0,NONE,
285,src/backend/core/tests/files/test_api_files_list_filters.py,0.002246723528188059,216,1,1,0.0,0.00253592561284869,0,NONE,
286,src/frontend/src/features/rooms/components/join/ToggleDevice.tsx,0.002246723528188059,216,9,1,0.0,0.00253592561284869,0,NONE,
287,src/frontend/src/locales/de/global.json,0.0022363220303723737,215,29,4,0.0,0.00253592561284869,0,NONE,
288,src/backend/core/tests/recording/test_api_recordings_list.py,0.002194716039109632,211,7,1,0.0,0.00253592561284869,0,NONE,
289,src/frontend/src/features/recording/routes/RecordingDownload.tsx,0.002173913043478261,209,10,2,0.0,0.00253592561284869,0,NONE,
290,src/frontend/src/locales/nl/settings.json,0.0021635115456625754,208,16,4,0.0,0.00253592561284869,0,NONE,
291,src/backend/core/factories.py,0.00215311004784689,207,12,3,0.0,0.00253592561284869,0,NONE,
292,src/backend/core/tests/rooms/test_api_rooms_webhook.py,0.0021427085500312043,206,8,1,0.0,0.00253592561284869,0,NONE,
293,src/frontend/src/features/sdk/routes/CreateButton.tsx,0.0021427085500312043,206,2,2,0.0,0.00253592561284869,0,NONE,
294,src/backend/core/recording/worker/services.py,0.0021219055543998337,204,6,1,0.0,0.00253592561284869,0,NONE,
295,src/frontend/src/features/rooms/components/join/SelectDevice.tsx,0.002111504056584148,203,6,1,0.0,0.00253592561284869,0,NONE,
296,src/frontend/visio/src/App.tsx,0.002090701060952777,201,3,1,0.0,0.00253592561284869,0,NONE,
297,src/frontend/src/features/rooms/livekit/hooks/usePersistentUserChoices.ts,0.0020490950696900353,197,8,3,0.0,0.00253592561284869,0,NONE,
298,src/frontend/src/features/sdk/routes/CreateMeetingButton.tsx,0.00203869357187435,196,7,1,0.0,0.00253592561284869,0,NONE,
299,docker-compose.yml,0.002017890576242979,194,8,3,0.0,0.00253592561284869,0,NONE,
300,src/summary/tests/api/test_api_tasks_v2.py,0.0020074890784272936,193,2,1,0.0,0.00253592561284869,0,NONE,
301,src/frontend/src/features/recording/components/NoAccessView.tsx,0.001997087580611608,192,4,2,0.0,0.00253592561284869,0,NONE,
302,src/frontend/src/features/rooms/livekit/components/controls/Device/ToggleDevice.tsx,0.001997087580611608,192,14,2,0.0,0.00253592561284869,0,NONE,
303,src/backend/core/tests/rooms/test_api_rooms_stop_recording.py,0.0019866860827959226,191,3,1,0.0,0.00253592561284869,0,NONE,
304,docs/installation/scalingo.md,0.0019450800915331808,187,2,2,0.0,0.00253592561284869,0,NONE,
305,src/backend/core/tests/services/test_marketing_service.py,0.0019450800915331808,187,1,1,0.0,0.00253592561284869,0,NONE,
306,src/frontend/src/features/rooms/livekit/components/Info.tsx,0.0019346785937174953,186,6,1,0.0,0.00253592561284869,0,NONE,
307,src/helm/impress/README.md,0.0019346785937174953,186,2,2,0.0,0.00253592561284869,0,NONE,
308,src/frontend/src/features/rooms/livekit/components/controls/HandToggle.tsx,0.0019242770959018098,185,10,3,0.0,0.00253592561284869,0,NONE,
309,src/frontend/src/features/rooms/livekit/components/controls/Participants/ParticipantsToggle.tsx,0.0019138755980861245,184,14,4,0.0,0.00253592561284869,0,NONE,
310,src/frontend/src/features/rooms/livekit/components/controls/ToggleDevice.tsx,0.0019138755980861245,184,9,2,0.0,0.00253592561284869,0,NONE,
311,src/helm/impress/templates/_helpers.tpl,0.0019138755980861245,184,1,1,0.0,0.00253592561284869,0,NONE,
312,src/summary/summary/core/shared_models.py,0.0018930726024547534,182,3,1,0.0,0.00253592561284869,0,NONE,
313,compose.yml,0.001882671104639068,181,18,4,0.0,0.00253592561284869,0,NONE,
314,src/summary/summary/core/transcript_formatter.py,0.0018722696068233825,180,3,3,0.0,0.00253592561284869,0,NONE,
315,src/summary/summary/core/llm_service.py,0.0018618681090076972,179,4,2,0.0,0.00253592561284869,0,NONE,
316,src/backend/core/tests/recording/worker/test_factories.py,0.0018306636155606408,176,3,1,0.0,0.00253592561284869,0,NONE,
317,src/backend/core/tests/rooms/test_api_rooms_list.py,0.0018098606199292698,174,6,1,0.0,0.00253592561284869,0,NONE,
318,src/backend/core/services/livekit_events.py,0.0017994591221135844,173,10,2,0.0,0.00253592561284869,0,NONE,
319,src/backend/core/tests/test_utils.py,0.001789057624297899,172,3,1,0.0,0.00253592561284869,0,NONE,
320,src/frontend/src/features/sdk/SdkReverseClient.tsx,0.001789057624297899,172,3,3,0.0,0.00253592561284869,0,NONE,
321,src/frontend/src/primitives/Switch.tsx,0.001789057624297899,172,5,1,0.0,0.00253592561284869,0,NONE,
322,src/frontend/src/locales/de/legals.json,0.0017578531308508425,169,4,2,0.0,0.00253592561284869,0,NONE,
323,src/frontend/src/features/rooms/livekit/components/FullScreenShareWarning.tsx,0.0017370501352194717,167,5,1,0.0,0.00253592561284869,0,NONE,
324,src/backend/core/tests/test_utils_detect_mimetype.py,0.0017266486374037861,166,1,1,0.0,0.00253592561284869,0,NONE,
325,src/frontend/src/routes/Conference.tsx,0.0017266486374037861,166,3,2,0.0,0.00253592561284869,0,NONE,
326,src/frontend/src/styles/fonts.css,0.0017266486374037861,166,4,2,0.0,0.00253592561284869,0,NONE,
327,src/mail/package.json,0.0017266486374037861,166,72,4,0.0,0.00253592561284869,0,NONE,
328,src/frontend/src/features/subtitle/component/CaptionsSettings.tsx,0.0016954441439567297,163,5,2,0.0,0.00253592561284869,0,NONE,
329,docs/egress.md,0.0016850426461410444,162,2,1,0.0,0.00253592561284869,0,NONE,
330,src/frontend/src/primitives/Text.tsx,0.0016850426461410444,162,13,5,0.0,0.00253592561284869,0,NONE,
331,src/backend/core/tests/files/test_api_files_list.py,0.0016642396505096733,160,1,1,0.0,0.00253592561284869,0,NONE,
332,src/frontend/src/features/rooms/hooks/useWatchPermissions.ts,0.0016642396505096733,160,2,1,0.0,0.00253592561284869,0,NONE,
333,src/frontend/src/locales/fr/home.json,0.0016642396505096733,160,22,3,0.0,0.00253592561284869,0,NONE,
334,src/helm/meet/templates/celery_deployment.yaml,0.001653838152693988,159,5,2,0.0,0.00253592561284869,0,NONE,
335,src/frontend/src/primitives/PopoverList.tsx,0.0016434366548783025,158,6,2,0.0,0.00253592561284869,0,NONE,
336,src/backend/core/recording/event/parsers.py,0.001633035157062617,157,5,1,0.0,0.00253592561284869,0,NONE,
337,src/frontend/src/features/reactions/components/toolbar/ReactionsToolbar.tsx,0.001633035157062617,157,3,2,0.0,0.00253592561284869,0,NONE,
338,src/backend/demo/management/commands/create_demo.py,0.0016226336592469316,156,2,2,0.0,0.00253592561284869,0,NONE,
339,src/frontend/src/components/Avatar.tsx,0.0016226336592469316,156,12,2,0.0,0.00253592561284869,0,NONE,
340,src/summary/summary/core/webhook_service.py,0.0016226336592469316,156,3,2,0.0,0.00253592561284869,0,NONE,
341,src/backend/core/services/jwt_token.py,0.0015914291657998752,153,2,1,0.0,0.00253592561284869,0,NONE,
342,src/frontend/src/layout/Screen.tsx,0.0015810276679841897,152,7,2,0.0,0.00253592561284869,0,NONE,
343,src/frontend/src/locales/en/home.json,0.0015810276679841897,152,22,3,0.0,0.00253592561284869,0,NONE,
344,src/frontend/src/primitives/Popover.tsx,0.0015810276679841897,152,8,2,0.0,0.00253592561284869,0,NONE,
345,src/frontend/src/primitives/menuItemRecipe.ts,0.0015706261701685042,151,7,3,0.0,0.00253592561284869,0,NONE,
346,src/frontend/src/routes/Home.tsx,0.0015706261701685042,151,4,2,0.0,0.00253592561284869,0,NONE,
347,src/helm/env.d/preprod/values.impress.yaml.gotmpl,0.0015706261701685042,151,2,2,0.0,0.00253592561284869,0,NONE,
348,src/helm/env.d/production/values.impress.yaml.gotmpl,0.0015706261701685042,151,2,2,0.0,0.00253592561284869,0,NONE,
349,src/helm/env.d/staging/values.impress.yaml.gotmpl,0.0015706261701685042,151,2,2,0.0,0.00253592561284869,0,NONE,
350,src/frontend/src/locales/de/notifications.json,0.0015602246723528188,150,18,4,0.0,0.00253592561284869,0,NONE,
351,docs/developping_locally.md,0.0015290201789057625,147,2,2,0.0,0.00253592561284869,0,NONE,
352,src/backend/core/tests/recording/event/test_authentication.py,0.0015290201789057625,147,2,1,0.0,0.00253592561284869,0,NONE,
353,src/helm/meet/templates/_helpers.tpl,0.0015290201789057625,147,8,3,0.0,0.00253592561284869,0,NONE,
